Date,Pays,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
2021-01-26,Andorre,9596,97,8724,1.01,90.91,8.08
2021-01-26,Émirats Arabes Unis,281546,798,255304,0.28,90.68,9.04
2021-01-26,Afghanistan,54672,2385,47365,4.36,86.63,9.00
2021-01-26,Antigua-et-Barbuda,201,6,170,2.99,84.58,12.44
2021-01-26,Albanie,72812,1324,44291,1.82,60.83,37.35
2021-01-26,Arménie,166232,3052,155404,1.84,93.49,4.68
2021-01-26,Angola,19476,461,17327,2.37,88.97,8.67
2021-01-26,Argentine,1874801,47034,1666527,2.51,88.89,8.60
2021-01-26,Autriche,405723,7451,383200,1.84,94.45,3.71
2021-01-26,Australie,28780,909,26003,3.16,90.35,6.49
2021-01-26,Azerbaïdjan,229032,3093,220565,1.35,96.30,2.35
2021-01-26,Bosnie-Herzégovine,120143,4593,92605,3.82,77.08,19.10
2021-01-26,Barbade,1401,10,649,0.71,46.32,52.96
2021-01-26,Bangladesh,532401,8041,476979,1.51,89.59,8.90
2021-01-26,Belgique,694858,20814,0,3.00,0.00,97.00
2021-01-26,Burkina Faso,10103,117,8388,1.16,83.02,15.82
2021-01-26,Bulgarie,215589,8880,180127,4.12,83.55,12.33
2021-01-26,Bahreïn,100230,369,96761,0.37,96.54,3.09
2021-01-26,Burundi,1479,2,773,0.14,52.27,47.60
2021-01-26,Bénin,3643,48,3317,1.32,91.05,7.63
2021-01-26,Saint Barthélemy,300,1,204,0.33,68.00,31.67
2021-01-26,Brunéi Darussalam,175,3,169,1.71,96.57,1.71
2021-01-26,Bolivie,202818,10051,151469,4.96,74.68,20.36
2021-01-26,Brésil,8871393,217664,7864969,2.45,88.66,8.89
2021-01-26,Bahamas,8133,175,6720,2.15,82.63,15.22
2021-01-26,Bhoutan,856,1,734,0.12,85.75,14.14
2021-01-26,Botswana,20658,124,16794,0.60,81.30,18.10
2021-01-26,Bélarus,238635,1658,224171,0.69,93.94,5.37
2021-01-26,Belize,11770,293,11131,2.49,94.57,2.94
2021-01-26,Canada,757657,18868,677636,2.49,89.44,8.07
2021-01-26,Rép. Dém. du Congo,21954,661,14915,3.01,67.94,29.05
2021-01-26,République Centrafricaine,4980,63,4885,1.27,98.09,0.64
2021-01-26,Congo (Brazzaville),7887,117,5846,1.48,74.12,24.39
2021-01-26,Suisse,513599,9146,317600,1.78,61.84,36.38
2021-01-26,Côte d'Ivoire,27096,146,25000,0.54,92.26,7.20
2021-01-26,Chili,703178,17999,658324,2.56,93.62,3.82
2021-01-26,Cameroun,29617,462,28045,1.56,94.69,3.75
2021-01-26,Chine,89197,4636,82673,5.20,92.69,2.12
2021-01-26,Colombie,2027746,51747,1849194,2.55,91.19,6.25
2021-01-26,Costa Rica,190745,2558,149149,1.34,78.19,20.47
2021-01-26,Cuba,21828,197,17034,0.90,78.04,21.06
2021-01-26,Cap-vert,13557,127,12751,0.94,94.05,5.01
2021-01-26,Chypre,30143,188,2057,0.62,6.82,92.55
2021-01-26,République Tchèque,946946,15618,831394,1.65,87.80,10.55
2021-01-26,Allemagne,2154656,53132,1859936,2.47,86.32,11.21
2021-01-26,Djibouti,5920,61,5840,1.03,98.65,0.32
2021-01-26,Danemark,195326,2010,181111,1.03,92.72,6.25
2021-01-26,Dominique,113,0,105,0.00,92.92,7.08
2021-01-26,République Dominicaine,205162,2545,148922,1.24,72.59,26.17
2021-01-26,Algérie,105854,2866,72143,2.71,68.15,29.14
2021-01-26,Équateur,241567,14639,204071,6.06,84.48,9.46
2021-01-26,Estonie,41330,392,31039,0.95,75.10,23.95
2021-01-26,Égypte,162486,9012,127001,5.55,78.16,16.29
2021-01-26,Érythrée,1950,7,1378,0.36,70.67,28.97
2021-01-26,Espagne,2593382,56208,150376,2.17,5.80,92.03
2021-01-26,Éthiopie,134132,2071,120199,1.54,89.61,8.84
2021-01-26,Finlande,42772,655,31000,1.53,72.48,25.99
2021-01-26,Fidji,55,2,53,3.64,96.36,0.00
2021-01-26,Îles Féroé,652,1,644,0.15,98.77,1.07
2021-01-26,France,3048618,73113,193168,2.40,6.34,91.27
2021-01-26,Gabon,10411,67,10013,0.64,96.18,3.18
2021-01-26,Royaume-Uni,3676109,98658,5687,2.68,0.15,97.16
2021-01-26,Grenade,148,1,135,0.68,91.22,8.11
2021-01-26,Géorgie,254822,3096,244446,1.21,95.93,2.86
2021-01-26,Guyane Française,15664,76,9995,0.49,63.81,35.71
2021-01-26,Ghana,62135,372,58150,0.60,93.59,5.81
2021-01-26,Gibraltar,3992,65,3349,1.63,83.89,14.48
2021-01-26,Gambie,4008,128,3722,3.19,92.86,3.94
2021-01-26,Guinée,14375,81,13746,0.56,95.62,3.81
2021-01-26,Guadeloupe,9056,157,2242,1.73,24.76,73.51
2021-01-26,Guinée Équatoriale,5454,86,5219,1.58,95.69,2.73
2021-01-26,Grèce,152412,5671,93764,3.72,61.52,34.76
2021-01-26,Guatemala,154430,5469,139113,3.54,90.08,6.38
2021-01-26,Guinée-Bissau,2532,45,2421,1.78,95.62,2.61
2021-01-26,Guyana,7317,172,6431,2.35,87.89,9.76
2021-01-26,Hong-Kong,10158,171,9056,1.68,89.15,9.17
2021-01-26,Honduras,141984,3462,60477,2.44,42.59,54.97
2021-01-26,Croatie,229054,4859,221676,2.12,96.78,1.10
2021-01-26,Haïti,11099,243,8982,2.19,80.93,16.88
2021-01-26,Hongrie,360877,12113,244681,3.36,67.80,28.84
2021-01-26,Indonésie,1012350,28468,820356,2.81,81.03,16.15
2021-01-26,Irlande,188923,2977,23364,1.58,12.37,86.06
2021-01-26,Israël,613340,4498,534485,0.73,87.14,12.12
2021-01-26,Inde,10676838,153587,10345985,1.44,96.90,1.66
2021-01-26,Iraq,614576,13000,583127,2.12,94.88,3.00
2021-01-26,Iran,1379286,57481,1171070,4.17,84.90,10.93
2021-01-26,Islande,5990,29,5900,0.48,98.50,1.02
2021-01-26,Italie,2475372,85881,1897861,3.47,76.67,19.86
2021-01-26,Jamaïque,15012,338,11889,2.25,79.20,18.55
2021-01-26,Jordanie,321298,4239,308883,1.32,96.14,2.54
2021-01-26,Japon,371509,5248,290386,1.41,78.16,20.42
2021-01-26,Kenya,100052,1744,83418,1.74,83.37,14.88
2021-01-26,Kirghizistan,84068,1402,80182,1.67,95.38,2.95
2021-01-26,Cambodge,460,0,412,0.00,89.57,10.43
2021-01-26,Comores,2350,76,1424,3.23,60.60,36.17
2021-01-26,Saint-Kitts-et-Nevis,35,0,35,0.00,100.00,0.00
2021-01-26,Corée du Sud,75875,1371,64793,1.81,85.39,12.80
2021-01-26,Koweït,161777,954,154766,0.59,95.67,3.74
2021-01-26,Kazakhstan,227165,2961,196978,1.30,86.71,11.99
2021-01-26,Laos,44,0,41,0.00,93.18,6.82
2021-01-26,Liban,282249,2374,168142,0.84,59.57,39.59
2021-01-26,Sainte-Lucie,886,11,461,1.24,52.03,46.73
2021-01-26,Liechtenstein,2454,52,2322,2.12,94.62,3.26
2021-01-26,Sri Lanka,59167,287,50337,0.49,85.08,14.44
2021-01-26,Libéria,1927,84,1726,4.36,89.57,6.07
2021-01-26,Lesotho,8044,134,2243,1.67,27.88,70.45
2021-01-26,Lituanie,177934,2688,121907,1.51,68.51,29.98
2021-01-26,Luxembourg,49733,566,47109,1.14,94.72,4.14
2021-01-26,Lettonie,61231,1114,49035,1.82,80.08,18.10
2021-01-26,Libye,114429,1782,93342,1.56,81.57,16.87
2021-01-26,Maroc,466626,8172,443472,1.75,95.04,3.21
2021-01-26,Monaco,1368,9,1140,0.66,83.33,16.01
2021-01-26,Moldavie,156426,3368,147178,2.15,94.09,3.76
2021-01-26,Montenegro,58697,770,50221,1.31,85.56,13.13
2021-01-26,Saint Martin,1146,12,1006,1.05,87.78,11.17
2021-01-26,Madagascar,18743,279,17930,1.49,95.66,2.85
2021-01-26,Îles Marshall,4,0,4,0.00,100.00,0.00
2021-01-26,Macédoine,90717,2791,78727,3.08,86.78,10.14
2021-01-26,Mali,7995,324,5731,4.05,71.68,24.27
2021-01-26,Birmanie,137957,3069,122116,2.22,88.52,9.26
2021-01-26,Mongolie,1656,2,1211,0.12,73.13,26.75
2021-01-26,Macao,47,0,46,0.00,97.87,2.13
2021-01-26,Martinique,6370,44,98,0.69,1.54,97.77
2021-01-26,Mauritanie,16421,417,15305,2.54,93.20,4.26
2021-01-26,Malte,16861,253,13976,1.50,82.89,15.61
2021-01-26,Maurice,568,10,525,1.76,92.43,5.81
2021-01-26,Maldives,15102,51,13884,0.34,91.93,7.73
2021-01-26,Malawi,19987,518,6780,2.59,33.92,63.49
2021-01-26,Mexique,1771740,150273,1335876,8.48,75.40,16.12
2021-01-26,Malaisie,186849,689,145084,0.37,77.65,21.98
2021-01-26,Mozambique,32781,363,21011,1.11,64.10,34.80
2021-01-26,Namibie,32650,319,30270,0.98,92.71,6.31
2021-01-26,Nouvelle-Calédonie,44,0,43,0.00,97.73,2.27
2021-01-26,Niger,4374,151,3494,3.45,79.88,16.67
2021-01-26,Nigéria,122996,1507,98359,1.23,79.97,18.81
2021-01-26,Nicaragua,6204,168,4225,2.71,68.10,29.19
2021-01-26,Pays-Bas,966194,13686,12510,1.42,1.29,97.29
2021-01-26,Norvège,61315,548,17998,0.89,29.35,69.75
2021-01-26,Népal,269789,2011,264538,0.75,98.05,1.20
2021-01-26,Nouvelle-Zélande,2290,25,2200,1.09,96.07,2.84
2021-01-26,Oman,133407,1524,126409,1.14,94.75,4.10
2021-01-26,Panama,312158,5098,261291,1.63,83.70,14.66
2021-01-26,Pérou,1093938,39608,1012450,3.62,92.55,3.83
2021-01-26,Polynésie Française,17912,129,4842,0.72,27.03,72.25
2021-01-26,Papouasie-Nouvelle-Guinée,850,9,812,1.06,95.53,3.41
2021-01-26,Philippines,516166,10386,475423,2.01,92.11,5.88
2021-01-26,Pakistan,535914,11376,490126,2.12,91.46,6.42
2021-01-26,Pologne,1478119,35401,1237736,2.40,83.74,13.87
2021-01-26,Palestine,155884,1796,145639,1.15,93.43,5.42
2021-01-26,Portugal,643113,10721,461757,1.67,71.80,26.53
2021-01-26,Paraguay,128366,2632,103811,2.05,80.87,17.08
2021-01-26,Qatar,149296,248,144981,0.17,97.11,2.72
2021-01-26,Réunion,9701,45,9261,0.46,95.46,4.07
2021-01-26,Roumanie,712561,17841,654875,2.50,91.90,5.59
2021-01-26,Serbie,385126,3905,0,1.01,0.00,98.99
2021-01-26,Russie,3716228,69391,3140930,1.87,84.52,13.61
2021-01-26,Rwanda,13311,177,8681,1.33,65.22,33.45
2021-01-26,Arabie Saoudite,366584,6355,358137,1.73,97.70,0.57
2021-01-26,Îles Salomon,17,0,10,0.00,58.82,41.18
2021-01-26,Seychelles,1069,3,738,0.28,69.04,30.68
2021-01-26,Soudan,26526,1738,19884,6.55,74.96,18.49
2021-01-26,Suède,547166,11005,0,2.01,0.00,97.99
2021-01-26,Singapour,59366,29,59066,0.05,99.49,0.46
2021-01-26,Slovénie,158131,3379,136402,2.14,86.26,11.60
2021-01-26,Slovaquie,237027,4068,193380,1.72,81.59,16.70
2021-01-26,Sierra Leone,3173,77,2222,2.43,70.03,27.54
2021-01-26,Saint-Marin,2889,65,2628,2.25,90.97,6.78
2021-01-26,Sénégal,24993,582,20681,2.33,82.75,14.92
2021-01-26,Somalie,4754,130,3666,2.73,77.11,20.15
2021-01-26,Suriname,8112,149,7304,1.84,90.04,8.12
2021-01-26,Soudan du sud,3788,64,3542,1.69,93.51,4.80
2021-01-26,Sao Tomé-et-Principe,1189,17,997,1.43,83.85,14.72
2021-01-26,El Salvador,53479,1583,47073,2.96,88.02,9.02
2021-01-26,Syrie,13697,890,7121,6.50,51.99,41.51
